method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.15140065550804138,0.025946220383048058,0.10460532456636429,0.25609806180000305,0.1620437651872635,0.04453732818365097,0.12086360156536102,0.2574576735496521,0.1319398134946823,0.04282327741384506,0.13278239965438843,0.17222793400287628,0.14846141139666238
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.18174508213996887,0.06486368179321289,0.10239212960004807,0.31504330039024353,0.17005249857902527,0.04443361610174179,0.09578821063041687,0.3022947609424591,0.18579140305519104,0.0245907511562109,0.21034123003482819,0.23564192652702332,0.1791963279247284
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.13396160304546356,0.03612786531448364,0.10096300393342972,0.21211427450180054,0.15814577043056488,0.024942081421613693,0.14550304412841797,0.2322671264410019,0.1643700897693634,0.04535369202494621,0.11880510300397873,0.2648657262325287,0.15215915441513062
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.13675695657730103,0.024629831314086914,0.12435545027256012,0.20090945065021515,0.1528971642255783,0.049208782613277435,0.08948401361703873,0.2641665041446686,0.22339382767677307,0.07526862621307373,0.2099282592535019,0.30522486567497253,0.1710159828265508
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.16744452714920044,0.03907005116343498,0.1454140543937683,0.24872475862503052,0.20153020322322845,0.0426684245467186,0.14471904933452606,0.3316621780395508,0.19844897091388702,0.03627347946166992,0.13748738169670105,0.3342607915401459,0.18914123376210532
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.19248799979686737,0.03635315224528313,0.09882651269435883,0.3582117259502411,0.13000407814979553,0.03807699680328369,0.18038636445999146,0.12204966694116592,0.1338995397090912,0.03894849866628647,0.09926946461200714,0.2123531997203827,0.1521305392185847
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.10545887053012848,0.04029470682144165,0.06957423686981201,0.17141926288604736,0.1830712854862213,0.031010529026389122,0.18497702479362488,0.25134745240211487,0.11399700492620468,0.03924469277262688,0.09327755123376846,0.16921751201152802,0.13417572031418482
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.14513802528381348,0.03443145751953125,0.11147458851337433,0.22989679872989655,0.20515881478786469,0.050119780004024506,0.11667118221521378,0.3652029037475586,0.15399526059627533,0.036388278007507324,0.0980411097407341,0.26422959566116333,0.16809736688931784
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.16481560468673706,0.029916604980826378,0.12081451714038849,0.2710777521133423,0.14944052696228027,0.029687464237213135,0.10311327874660492,0.25103840231895447,0.21631167829036713,0.060105763375759125,0.14974504709243774,0.35497331619262695,0.1768559366464615
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.1107146292924881,0.051677726209163666,0.08643847703933716,0.16223859786987305,0.21610799431800842,0.03810729831457138,0.16646774113178253,0.34790244698524475,0.16386133432388306,0.049973130226135254,0.15689125657081604,0.2233952134847641,0.16356131931145987
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.1307430863380432,0.06566542387008667,0.11856074631214142,0.1729612797498703,0.1278643012046814,0.020190637558698654,0.09682914614677429,0.20859499275684357,0.12956544756889343,0.049771904945373535,0.09790721535682678,0.19805148243904114,0.12939094503720602
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.14390504360198975,0.03973798081278801,0.13998514413833618,0.19590206444263458,0.15675301849842072,0.029515227302908897,0.13311360776424408,0.2391175627708435,0.1597120761871338,0.06142636388540268,0.10878001898527145,0.25600680708885193,0.15345671276251474
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.1351403295993805,0.06280847638845444,0.10128305852413177,0.20238156616687775,0.17747697234153748,0.04159911721944809,0.09715887904167175,0.3205079436302185,0.12142717838287354,0.014524459838867188,0.06931804120540619,0.22287604212760925,0.14468149344126383
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.163926899433136,0.05514933913946152,0.0988253504037857,0.27923351526260376,0.129194974899292,0.05075943470001221,0.09582461416721344,0.19876635074615479,0.14281713962554932,0.04709160327911377,0.12161143124103546,0.20820383727550507,0.1453130046526591
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.13888879120349884,0.03551630303263664,0.06073134019970894,0.2647566497325897,0.14038479328155518,0.029888153076171875,0.13961414992809296,0.1921539157629013,0.15440988540649414,0.019920747727155685,0.12764592468738556,0.24324575066566467,0.14456115663051605
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.13011719286441803,0.03322571516036987,0.10349741578102112,0.20145611464977264,0.17853160202503204,0.03308659791946411,0.11227256804704666,0.3119191527366638,0.1630861461162567,0.020358800888061523,0.1020219549536705,0.2900245189666748,0.1572449803352356
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.1448705494403839,0.037456214427948,0.11784777790307999,0.2214691936969757,0.13701090216636658,0.033336006104946136,0.08097817748785019,0.24089358747005463,0.15556587278842926,0.034470878541469574,0.09054107218980789,0.27648067474365234,0.14581577479839325
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.14807596802711487,0.039868973195552826,0.09420030564069748,0.25189337134361267,0.19372841715812683,0.0482979416847229,0.12510576844215393,0.3294728398323059,0.17702114582061768,0.031999390572309494,0.08237439393997192,0.3386010527610779,0.17294184366861978
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",0.1450158655643463,0.020017623901367188,0.11338010430335999,0.23434315621852875,0.1289183497428894,0.03252685070037842,0.10085812211036682,0.20146697759628296,0.13453562557697296,0.03742925450205803,0.11649702489376068,0.19739258289337158,0.13615661362806955
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.2126542627811432,0.03642946481704712,0.16661608219146729,0.34002694487571716,0.1853729486465454,0.04376953840255737,0.12476656585931778,0.3113347589969635,0.15925276279449463,0.05413572117686272,0.13991114497184753,0.22710995376110077,0.1857599914073944
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.16335079073905945,0.026750585064291954,0.14670878648757935,0.243039071559906,0.19790516793727875,0.033295951783657074,0.20003187656402588,0.2717519700527191,0.18003270030021667,0.02793896198272705,0.161610409617424,0.2686521112918854,0.18042955299218497
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.19757619500160217,0.039845287799835205,0.16774381697177887,0.3002074956893921,0.16713696718215942,0.06679295003414154,0.14179527759552002,0.23879128694534302,0.17568686604499817,0.021386941894888878,0.20519700646400452,0.21739208698272705,0.18013334274291992
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.17195801436901093,0.03739480301737785,0.16966643929481506,0.236355721950531,0.2176690548658371,0.04492583125829697,0.20953792333602905,0.3055278956890106,0.19437582790851593,0.045021139085292816,0.21883215010166168,0.23885244131088257,0.1946676323811213
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.12211108207702637,0.02342931553721428,0.12930834293365479,0.1604592651128769,0.20223116874694824,0.03429102897644043,0.17116683721542358,0.31080636382102966,0.13852891325950623,0.032031893730163574,0.1278124302625656,0.1983979046344757,0.15429038802782694
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.1962762176990509,0.05185040086507797,0.101323701441288,0.3578868508338928,0.20444151759147644,0.031851254403591156,0.20444078743457794,0.2840993404388428,0.22047829627990723,0.04984041303396225,0.10074213892221451,0.41897040605545044,0.20706534385681152
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.1536005437374115,0.037519000470638275,0.13784794509410858,0.2229292243719101,0.24286878108978271,0.07083293050527573,0.19898246228694916,0.36615630984306335,0.19513458013534546,0.03604301065206528,0.22418254613876343,0.23951351642608643,0.1972013016541799
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.20127341151237488,0.06216134876012802,0.1276043802499771,0.33914801478385925,0.210353821516037,0.045692961663007736,0.17052552103996277,0.3261794447898865,0.21415548026561737,0.04524028301239014,0.2097446471452713,0.2965272068977356,0.20859423776467642
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.19883185625076294,0.049217741936445236,0.1681935340166092,0.2985229194164276,0.11009134352207184,0.020937681198120117,0.08210764080286026,0.17922289669513702,0.1474042683839798,0.01420195959508419,0.11692159622907639,0.23936495184898376,0.15210915605227152
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.1302821934223175,0.020926635712385178,0.09003298729658127,0.2210031896829605,0.1647609919309616,0.04087507724761963,0.10349507629871368,0.2832050323486328,0.10278801620006561,0.01824420690536499,0.06130186468362808,0.183294415473938,0.13261040051778158
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.1789059340953827,0.05217447131872177,0.17781801521778107,0.23848532140254974,0.1412126123905182,0.02606699988245964,0.1389220803976059,0.1966472864151001,0.18444564938545227,0.03320404142141342,0.10767153650522232,0.331023633480072,0.16818806529045105
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.14589369297027588,0.01787521503865719,0.13942040503025055,0.21145246922969818,0.20548926293849945,0.024348756298422813,0.20794835686683655,0.2866334915161133,0.2223811000585556,0.02582593820989132,0.1876758188009262,0.34780415892601013,0.19125468532244363
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.21153423190116882,0.03135889768600464,0.15848533809185028,0.3477410078048706,0.14363312721252441,0.04452423378825188,0.1262437105178833,0.20676511526107788,0.16721373796463013,0.04784838482737541,0.14207208156585693,0.2474471628665924,0.17412703235944113
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.1891440898180008,0.01380328368395567,0.21296706795692444,0.24624764919281006,0.25244376063346863,0.024486681446433067,0.3840148150920868,0.22608372569084167,0.26190781593322754,0.0215544905513525,0.3079032301902771,0.3268447518348694,0.23449855546156564
