method,edge_mae,ler_mae,lwr_mae
Classical: Threshold + sub-pixel,0.28310155514779256,0.10017589183574716,0.14364323245607236
Classical: Threshold + sub-pixel,0.2774338261726381,0.08837477099803981,0.13376386278740648
Classical: Threshold + sub-pixel,0.2861365587221478,0.09905982894025767,0.16972164974728443
Classical: Threshold + sub-pixel,0.2768924364366381,0.07923678937388035,0.10350029428788776
Classical: Threshold + sub-pixel,0.28308962185311415,0.09125820557210862,0.11300704879533718
Classical: Threshold + sub-pixel,0.28802447803262454,0.08438510796882603,0.11942769744755632
Classical: Threshold + sub-pixel,0.29690100686659615,0.09730902300594357,0.1636765477767872
Classical: Threshold + sub-pixel,0.3010870702914781,0.08111137235842247,0.1365863046683482
Classical: Threshold + sub-pixel,0.2857248598441421,0.07534679076469686,0.11137638965461338
Classical: Threshold + sub-pixel,0.2836092855792949,0.09844407951623035,0.15130603499524486
Classical: Threshold + sub-pixel,0.28607911561964394,0.06483339311060532,0.11852653727877249
Classical: Threshold + sub-pixel,0.28279014395480523,0.07633752726273768,0.1011311875086911
Classical: Threshold + sub-pixel,0.29136200670910517,0.08485316613068916,0.10609190065178886
Classical: Threshold + sub-pixel,0.2850762097493784,0.09497075352012585,0.1333753637445021
Classical: Threshold + sub-pixel,0.29246022219235107,0.07707143567107,0.1268223093505978
Classical: Threshold + sub-pixel,0.2785633327284775,0.07483087190407212,0.11453837175657045
Classical: Threshold + sub-pixel,0.29464705283575804,0.08873918791559376,0.13130909833398308
Classical: Threshold + sub-pixel,0.2898790999830077,0.1039532972251418,0.14307138610346026
Classical: Threshold + sub-pixel,0.2980613077366068,0.06978534346868703,0.09867771203575826
Classical: Threshold + sub-pixel,0.3015332904575563,0.08838668872055522,0.1366686794759937
Classical: Threshold + sub-pixel,0.3024008043888743,0.07847691104438859,0.10815605127741179
Classical: Threshold + sub-pixel,0.29968295267376976,0.0955153132348181,0.14801892638625191
Classical: Threshold + sub-pixel,0.3103764856621153,0.08928126483207166,0.12280940806992224
Classical: Threshold + sub-pixel,0.304545749737316,0.07704349821030854,0.12220963073258284
Classical: Threshold + sub-pixel,0.28855861881132605,0.062335905447113205,0.1080499841499527
Classical: Threshold + sub-pixel,0.30112747023531977,0.08361795924147686,0.14181495646325182
Classical: Threshold + sub-pixel,0.29645870357873855,0.07350156865733526,0.08853944802713754
