detector,localization,k_n,edge_mae,ler_mae,lwr_mae
threshold,pixel,0.3,0.355985144910286,0.021026123334870306,0.028991359464685562
threshold,sub-pixel,0.3,0.18460170648894658,0.02065313980604455,0.044180252426766486
canny,pixel,0.3,0.35708709337338673,0.07447466082065402,0.09348858555931461
canny,sub-pixel,0.3,0.18460170648894658,0.02065313980604455,0.044180252426766486
threshold,pixel,0.3,0.3508312053793273,0.016276950061624662,0.02844669321386295
threshold,sub-pixel,0.3,0.18860600132681393,0.013272535757957282,0.050390147020233256
canny,pixel,0.3,0.3599152639363907,0.0730038668370745,0.10206765232331771
canny,sub-pixel,0.3,0.18860600132681393,0.013272535757957282,0.050390147020233256
threshold,pixel,1.0,0.36426483238130475,0.02075732102222283,0.036195934060966106
threshold,sub-pixel,1.0,0.19187288670594238,0.01017940497260017,0.005033982537021364
canny,pixel,1.0,0.3696316258448049,0.07140057366610075,0.10188554498029068
canny,sub-pixel,1.0,0.19187288670594238,0.01017940497260017,0.005033982537021364
threshold,pixel,1.0,0.3520811701035652,0.028180049900095483,0.02074471390619337
threshold,sub-pixel,1.0,0.198858132862007,0.03780558336703299,0.044303313783968123
canny,pixel,1.0,0.3618407837259649,0.07403090984624727,0.09222663140940712
canny,sub-pixel,1.0,0.198858132862007,0.03780558336703299,0.044303313783968123
threshold,pixel,1.0,0.34848226243342006,0.021783457876150214,0.015052147343282085
threshold,sub-pixel,1.0,0.19028471230571964,0.02653979709487564,0.019561924294172917
canny,pixel,1.0,0.3697405171077248,0.0807009987632401,0.09057388054448956
canny,sub-pixel,1.0,0.19028471230571964,0.02653979709487564,0.019561924294172917
threshold,pixel,1.0,0.3591941914813907,0.03930668057893172,0.04588947014062317
threshold,sub-pixel,1.0,0.1884748683133638,0.030302350527490196,0.04109470317880071
canny,pixel,1.0,0.3731868834418749,0.09656263561472556,0.1302240143325344
canny,sub-pixel,1.0,0.1884748683133638,0.030302350527490196,0.04109470317880071
threshold,pixel,1.0,0.3675995245519959,0.022081208790935447,0.024938712953988862
threshold,sub-pixel,1.0,0.1907694014630441,0.03116031399833774,0.056743619721866256
canny,pixel,1.0,0.37796511405049604,0.0867337078966085,0.09571279509959663
canny,sub-pixel,1.0,0.1907694014630441,0.03116031399833774,0.056743619721866256
threshold,pixel,2.0,0.3641498490145537,0.012831865426642941,0.04957617199707709
threshold,sub-pixel,2.0,0.19813602605333921,0.013550072830637028,0.015002006573514581
canny,pixel,2.0,0.3791050329917771,0.09273013128925311,0.15044590315256556
canny,sub-pixel,2.0,0.19813602605333921,0.013550072830637028,0.015002006573514581
threshold,pixel,2.0,0.36626210052698716,0.012753277981142896,0.0007468206794909449
threshold,sub-pixel,2.0,0.20557064640217287,0.01683294524911494,0.004023028085645031
canny,pixel,2.0,0.37362317836054293,0.048373383653322,0.08534598433681895
