method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.0)",0.0064596086740493774,0.0048927003517746925,0.007278674282133579,0.11182054504752159,0.0656355619430542,0.0205765962600708,0.06337118148803711,0.043105997145175934,0.06337124109268188,0.2546020820736885
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.00699498550966382,0.005141845438629389,0.010869959369301796,0.16270574927330017,0.020104289054870605,0.014756321907043457,0.027896404266357422,0.01743030548095703,0.027896463871002197,0.2708449065685272
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.006950541399419308,0.005608826410025358,0.011457713320851326,0.1602739691734314,0.022499680519104004,0.03250467777252197,0.026597023010253906,0.02750217169523239,0.026597052812576294,0.26779718697071075
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.008121881633996964,0.006618081126362085,0.010320394299924374,0.16497938334941864,0.018926501274108887,0.035897135734558105,0.04500555992126465,0.027411803603172302,0.04500553011894226,0.27105505764484406
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.0)",0.0066574192605912685,0.005182724446058273,0.008551610633730888,0.16297955811023712,0.011302947998046875,0.011992812156677246,0.02347111701965332,0.011647887527942657,0.02347123622894287,0.26693587005138397
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.001593268709257245,0.0012940714368596673,0.0014328634133562446,0.04129490256309509,0.02310192584991455,0.0402226448059082,0.029671788215637207,0.03166227042675018,0.02967175841331482,0.23083557933568954
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.0006940808962099254,0.0015680621145293117,0.0029931652825325727,0.04186001233756542,0.0153733491897583,0.03788900375366211,0.01940000057220459,0.026631183922290802,0.019399970769882202,0.23915156722068787
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.0018435019301250577,0.0010714178206399083,0.0018225451931357384,0.04191086068749428,0.019924163818359375,0.02912461757659912,0.014542579650878906,0.02452441304922104,0.014542624354362488,0.23981302976608276
seg-only,0,0.3,"(1.5, 8.0, 0.3, 0.3)",0.0020264629274606705,0.001123267225921154,0.0023141622077673674,0.04123089276254177,0.03433811664581299,0.07487297058105469,0.07488584518432617,0.054605573415756226,0.07488580048084259,0.24019541591405869
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.0035903980024158955,0.002245062030851841,0.004206976853311062,0.07555928826332092,0.008740782737731934,0.0593334436416626,0.024065732955932617,0.03403707593679428,0.024065658450126648,0.2421201765537262
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.0039018504321575165,0.003136638319119811,0.005389567464590073,0.07760633900761604,0.029487967491149902,0.030515193939208984,0.037357211112976074,0.03000154346227646,0.03735727071762085,0.2442152202129364
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.0018448801711201668,0.0035690045915544033,0.0035105568822473288,0.076993428170681,0.033313632011413574,0.050849080085754395,0.053177833557128906,0.04208141565322876,0.053177863359451294,0.24384722858667374
seg-only,0,1.0,"(1.5, 8.0, 0.3, 0.3)",0.0022365658078342676,0.0026687574572861195,0.0040129404515028,0.07523393630981445,0.03765547275543213,0.04711294174194336,0.04349720478057861,0.042384155094623566,0.04349726438522339,0.24331072717905045
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.0046154530718922615,0.0049648163840174675,0.004297083709388971,0.11150011047720909,0.005621552467346191,0.03608357906341553,0.02542710304260254,0.02095283567905426,0.025427117943763733,0.2524953931570053
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.004348276648670435,0.0036943613085895777,0.00774051807820797,0.11249333620071411,0.040860772132873535,0.0284498929977417,0.032425642013549805,0.03465529531240463,0.03242567181587219,0.24781784415245056
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.004663246683776379,0.0045593674294650555,0.0076515087857842445,0.10956181585788727,0.024145841598510742,0.01438283920288086,0.009885907173156738,0.0192643404006958,0.010216236114501953,0.2514041140675545
seg-only,0,2.0,"(1.5, 8.0, 0.3, 0.3)",0.003490941133350134,0.00402944115921855,0.006762996781617403,0.10946781188249588,0.032828450202941895,0.04160928726196289,0.046489596366882324,0.0372188538312912,0.04648967087268829,0.24546965211629868
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.004945093300193548,0.008031771518290043,0.0055310484021902084,0.1632481813430786,0.04292261600494385,0.03873181343078613,0.042560458183288574,0.040827229619026184,0.042560428380966187,0.28365935385227203
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.006409315392374992,0.004057201556861401,0.007417585700750351,0.16172678023576736,0.02615368366241455,0.04333758354187012,0.02864992618560791,0.03474558889865875,0.02864992618560791,0.2684881389141083
seg-only,0,4.0,"(1.5, 8.0, 0.3, 0.3)",0.008776312693953514,0.00415055314078927,0.008918906562030315,0.15921636670827866,0.0076029300689697266,0.04701340198516846,0.013457655906677246,0.028268098831176758,0.013606742024421692,0.26720578968524933
