method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.20654964447021484,0.04230847209692001,0.16723310947418213,0.3216698169708252,0.1636488437652588,0.06793713569641113,0.14105135202407837,0.2304210066795349,0.17986658215522766,0.023336848244071007,0.20906303822994232,0.2229146659374237,0.1833550234635671
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.18424034118652344,0.037446241825819016,0.17313525080680847,0.26309657096862793,0.21876034140586853,0.0472644567489624,0.21165867149829865,0.3050139546394348,0.19320499897003174,0.04574000835418701,0.21417754888534546,0.24029317498207092,0.19873522718747458
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.10361465811729431,0.022058865055441856,0.1255313754081726,0.11933907866477966,0.20471058785915375,0.034449439495801926,0.17341676354408264,0.31458649039268494,0.14790493249893188,0.033425889909267426,0.12417643517255783,0.22446992993354797,0.15207672615846
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.21296456456184387,0.04381231591105461,0.10651776194572449,0.39748165011405945,0.20084062218666077,0.03138647601008415,0.2007438838481903,0.2791469693183899,0.22941474616527557,0.05202750489115715,0.0999794751405716,0.4407210648059845,0.2144066443045934
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.1586151123046875,0.033039391040802,0.12924924492835999,0.24593903124332428,0.23658080399036407,0.07184469699859619,0.19586145877838135,0.35333219170570374,0.20397906005382538,0.035186849534511566,0.2231632024049759,0.2626990079879761,0.19972499211629233
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.20128005743026733,0.0579603910446167,0.12052629888057709,0.3481813669204712,0.2077716439962387,0.04387086629867554,0.1703203022480011,0.3208695352077484,0.20654501020908356,0.04306983947753906,0.21047116816043854,0.2780689299106598,0.20519890387852988
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.2025747299194336,0.044585030525922775,0.17717716097831726,0.30089065432548523,0.10896699130535126,0.017660042271018028,0.08702518045902252,0.17305046319961548,0.1558837890625,0.017405590042471886,0.11641904711723328,0.2592615485191345,0.15580850342909494
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.12345878034830093,0.02374468371272087,0.07909820973873138,0.2138412594795227,0.16569319367408752,0.04116277024149895,0.10673624277114868,0.2821257412433624,0.10538174957036972,0.01818927191197872,0.06276999413967133,0.18823620676994324,0.13151124119758606
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.17742592096328735,0.053876519203186035,0.16377043724060059,0.24810421466827393,0.14459554851055145,0.025821667164564133,0.14063994586467743,0.2033699005842209,0.18821242451667786,0.03142670914530754,0.11501432210206985,0.3337731957435608,0.17007796466350555
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.16422604024410248,0.01775129698216915,0.13916762173175812,0.256888210773468,0.20153827965259552,0.02424311637878418,0.20482105016708374,0.2800840437412262,0.22707749903202057,0.027074655517935753,0.19072683155536652,0.35573717951774597,0.1976139396429062
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.21309363842010498,0.02966795489192009,0.1557396501302719,0.3551056683063507,0.14735503494739532,0.0445382222533226,0.12510833144187927,0.21705567836761475,0.16782477498054504,0.04589792340993881,0.14083102345466614,0.25109246373176575,0.17609114944934845
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.19174493849277496,0.010496556758880615,0.21075642108917236,0.2563866078853607,0.2506846785545349,0.025251230224967003,0.3758438229560852,0.22957172989845276,0.2602999806404114,0.0225116815418005,0.3019348084926605,0.32841360569000244,0.23424319922924042
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",0.21193461120128632,0.021295052021741867,0.2426641881465912,0.26919254660606384,0.2517656087875366,0.04795805737376213,0.18076223134994507,0.4168340265750885,0.2243693470954895,0.02908722683787346,0.133735790848732,0.40513312816619873,0.22935652236143747
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.11851649731397629,0.014650623314082623,0.13224220275878906,0.15272890031337738,0.1682039201259613,0.026417892426252365,0.15311722457408905,0.24873033165931702,0.18221773207187653,0.04024430364370346,0.16790460050106049,0.2620570659637451,0.15631271650393805
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.23486609756946564,0.04077945277094841,0.2138078361749649,0.3455028533935547,0.2349327951669693,0.025859912857413292,0.1423981487751007,0.42396262288093567,0.20325231552124023,0.021286487579345703,0.15520450472831726,0.33528438210487366,0.22435040275255838
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",0.20308497548103333,0.028535783290863037,0.2434409111738205,0.2432902455329895,0.2834506630897522,0.03567105531692505,0.23847463726997375,0.44278648495674133,0.20505300164222717,0.03568999096751213,0.1966923475265503,0.29158124327659607,0.2305295467376709
