seed,config,edge_mae,ler_mae,lwr_mae
0,"(1.5, 8.0, 0.3, -0.3)",0.2711870917650337,0.08569303392156524,0.15055310427974433
0,"(1.5, 8.0, 0.3, -0.3)",0.2894922651490284,0.08702765008528768,0.12053286169030164
0,"(1.5, 8.0, 0.3, -0.3)",0.2743146006986349,0.08663505038070618,0.15689862349132033
0,"(1.5, 8.0, 0.3, -0.3)",0.2936814801491976,0.07997926147338152,0.13038358822976814
0,"(1.5, 8.0, 0.3, -0.3)",0.2819734170145037,0.08511350552198049,0.1384984951388306
0,"(1.5, 8.0, 0.3, -0.3)",0.28355235400601,0.08225866270579885,0.15081564698597516
0,"(1.5, 8.0, 0.3, -0.3)",0.2952385610134879,0.07305749640944792,0.10682455255074474
0,"(1.5, 8.0, 0.3, -0.3)",0.2778668413845983,0.08588494581224204,0.13457694698776246
0,"(1.5, 8.0, 0.3, -0.3)",0.29464769598188545,0.07285431079177274,0.12296305936622254
0,"(1.5, 8.0, 0.3, -0.3)",0.2772627470416067,0.08254628158944544,0.11349261492575735
0,"(1.5, 8.0, 0.3, -0.3)",0.28870993574918613,0.10155706488341987,0.15776452816324404
0,"(1.5, 8.0, 0.3, -0.3)",0.27901778678268363,0.08569975831338628,0.15166742738120842
0,"(1.5, 8.0, 0.3, -0.3)",0.28334888928781665,0.10241743317610374,0.17015233709641264
0,"(1.5, 8.0, 0.3, -0.3)",0.2697736431803066,0.0834806408591996,0.14714040243963789
0,"(1.5, 8.0, 0.3, -0.3)",0.265703614195943,0.07491472893064732,0.12435403659749777
0,"(1.5, 8.0, 0.7, 0.0)",0.1908438027222055,0.017902192610687595,0.02702625436905759
0,"(1.5, 8.0, 0.7, 0.0)",0.19617493291086058,0.010677809416294815,0.03619335720152739
0,"(1.5, 8.0, 0.7, 0.0)",0.20598667378769958,0.02203062202524253,0.042942877313361105
0,"(1.5, 8.0, 0.7, 0.0)",0.1921301615739682,0.0045728763041335,0.017000718566164474
0,"(1.5, 8.0, 0.7, 0.0)",0.21353696935321576,0.023952271918994406,0.03257385331585638
0,"(1.5, 8.0, 0.7, 0.0)",0.1822067325641865,0.01867554367247859,0.04077210572345047
0,"(1.5, 8.0, 0.7, 0.0)",0.2012644437865257,0.006753122840152059,0.014329953715036758
0,"(1.5, 8.0, 0.7, 0.0)",0.19110882879937263,0.017920493278187344,0.03582997682280009
0,"(1.5, 8.0, 0.7, 0.0)",0.18759837162807586,0.030402460023707056,0.02591517196096027
0,"(1.5, 8.0, 0.7, 0.0)",0.18206405895186972,0.02463129489084459,0.012810825980325458
0,"(1.5, 8.0, 0.7, 0.0)",0.20748081502410423,0.01929253535506148,0.005742012978306121
0,"(1.5, 8.0, 0.7, 0.0)",0.1802856848815347,0.030389143873544522,0.045428869763278534
0,"(1.5, 8.0, 0.7, 0.0)",0.19653702795704092,0.01731648056786428,0.007954168093322167
0,"(1.5, 8.0, 0.7, 0.0)",0.2249708628856511,0.032183731386728365,0.05825939494887411
0,"(1.5, 8.0, 0.7, 0.0)",0.1978252582820077,0.017366789915144287,0.02566111103780999
0,"(1.5, 8.0, 0.7, 0.3)",0.18987993875508577,0.025436973545170716,0.017869881353880457
