method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.6)",0.07773782312870026,0.051541782915592194,0.09421902149915695,0.490399569272995,0.34567761421203613,0.3748224973678589,0.1694718599319458,0.3602500855922699,0.1694718301296234,0.8705154657363892
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.6)",0.08606385439634323,0.06288851797580719,0.07167838513851166,0.4933291971683502,0.33897078037261963,0.3083568811416626,0.21695613861083984,0.3236638307571411,0.21695616841316223,0.8364853262901306
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.6)",0.040250930935144424,0.044460829347372055,0.07192887365818024,0.5068190693855286,0.3214181661605835,0.4100058078765869,0.13773202896118164,0.36571192741394043,0.13773205876350403,0.894865870475769
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, -0.3)",0.026939325034618378,0.04238743707537651,0.07131555676460266,0.34751811623573303,0.402182936668396,0.3661525249481201,0.6075328588485718,0.38416770100593567,0.6075328588485718,0.7990309596061707
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, -0.3)",0.0338224358856678,0.04005597159266472,0.06786172837018967,0.34510329365730286,0.43010640144348145,0.3694276809692383,0.6950153112411499,0.3997670114040375,0.6950153112411499,0.8257991075515747
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, -0.3)",0.06030482426285744,0.03932839632034302,0.06649801880121231,0.35617098212242126,0.39866745471954346,0.46745944023132324,0.731126070022583,0.43306349217891693,0.7311260104179382,0.8485333919525146
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, -0.3)",0.06643109768629074,0.048620518296957016,0.09617619216442108,0.35037609934806824,0.3819924592971802,0.3513498306274414,0.6296777725219727,0.3666711449623108,0.6296777725219727,0.7870180010795593
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, -0.3)",0.04772806912660599,0.05227034166455269,0.06897933781147003,0.35797035694122314,0.48804497718811035,0.44740986824035645,0.7988405227661133,0.4677274376153946,0.7988406419754028,0.8343324661254883
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, -0.3)",0.01643172651529312,0.04225772246718407,0.05043705552816391,0.36790964007377625,0.413246750831604,0.42533576488494873,0.701446533203125,0.41929128766059875,0.7014464139938354,0.8327376842498779
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, -0.3)",0.06280472129583359,0.025060469284653664,0.0762612521648407,0.3587944358587265,0.42313599586486816,0.42564427852630615,0.7059935331344604,0.42439013719558716,0.7059935331344604,0.814831554889679
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, -0.3)",0.03320103511214256,0.04655781015753746,0.04066401720046997,0.36538781225681305,0.4011576175689697,0.4476172924041748,0.6652016639709473,0.4243874251842499,0.6652016639709473,0.8311864137649536
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, -0.3)",0.04252013564109802,0.07515928894281387,0.10687490552663803,0.4111824929714203,0.42787373065948486,0.3650226593017578,0.6794083118438721,0.39644819498062134,0.6794083118438721,0.8366224765777588
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, -0.3)",0.06877897679805756,0.037971798330545425,0.0659732073545456,0.3990342766046524,0.3609670400619507,0.431454062461853,0.6632294654846191,0.39621053636074066,0.6632295846939087,0.8505301177501678
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, -0.3)",0.033137574791908264,0.05098404362797737,0.05473051592707634,0.38619789481163025,0.404945969581604,0.34065842628479004,0.5770127773284912,0.3728021830320358,0.5770128965377808,0.8407208621501923
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, -0.3)",0.06655509769916534,0.08539830893278122,0.0427519753575325,0.41788773238658905,0.3310660123825073,0.38159024715423584,0.598663330078125,0.3563281297683716,0.598663330078125,0.8356772661209106
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, -0.3)",0.05909314751625061,0.06164272502064705,0.0898599624633789,0.49586333334445953,0.35990452766418457,0.3380451202392578,0.6197421550750732,0.3489748537540436,0.6197421550750732,0.8797447383403778
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, -0.3)",0.04507400467991829,0.05905192717909813,0.06897169351577759,0.49852365255355835,0.4218294620513916,0.336126446723938,0.6580915451049805,0.3789779543876648,0.6580914258956909,0.889802098274231
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, -0.3)",0.04180154204368591,0.06012460216879845,0.05744951590895653,0.485702708363533,0.2891644239425659,0.3160783052444458,0.5374406576156616,0.30262133479118347,0.5374405980110168,0.8664422333240509
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, -0.3)",0.0745435431599617,0.046997930854558945,0.06652399897575378,0.5078371167182922,0.33277082443237305,0.3111168146133423,0.5444172620773315,0.3219437897205353,0.544417142868042,0.8815139830112457
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.0)",0.0400526188313961,0.039074745029211044,0.06446846574544907,0.3313245177268982,0.20974278450012207,0.2386380434036255,0.2619204521179199,0.2241903766989708,0.26192039251327515,0.6195926070213318
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.0)",0.05557660013437271,0.06576121598482132,0.07498911023139954,0.34246909618377686,0.22228002548217773,0.22718501091003418,0.38536345958709717,0.22473246604204178,0.38536345958709717,0.6155586242675781
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.0)",0.07001324743032455,0.031522899866104126,0.07274099439382553,0.3597961962223053,0.21600615978240967,0.17983031272888184,0.20995593070983887,0.19791824370622635,0.20995600521564484,0.6291162371635437
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.0)",0.043617039918899536,0.036132968962192535,0.09208103269338608,0.34995338320732117,0.1942843198776245,0.16082966327667236,0.2255859375,0.17755699902772903,0.2255859076976776,0.6069084107875824
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.0)",0.05177396163344383,0.027165789157152176,0.07018063962459564,0.36676672101020813,0.19321537017822266,0.20989716053009033,0.31397461891174316,0.2015562579035759,0.3139745891094208,0.6310630440711975
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.0)",0.03981133550405502,0.06697890907526016,0.07036048173904419,0.36080630123615265,0.22765660285949707,0.22091913223266602,0.34302330017089844,0.22428787499666214,0.3430233299732208,0.6347280740737915
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.0)",0.05085667967796326,0.04465422034263611,0.05957188457250595,0.36570337414741516,0.20273029804229736,0.16663551330566406,0.28696250915527344,0.1846829354763031,0.28696247935295105,0.6173350811004639
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.0)",0.044635284692049026,0.058695316314697266,0.05565153434872627,0.35818931460380554,0.21277332305908203,0.18385446071624756,0.3530137538909912,0.198313869535923,0.353013813495636,0.6168267726898193
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.0)",0.04293251410126686,0.04620671644806862,0.08861207216978073,0.3991341292858124,0.20194339752197266,0.1875162124633789,0.24078810214996338,0.19472982734441757,0.24078816175460815,0.6193649470806122
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.0)",0.0573110394179821,0.04924113303422928,0.07531143724918365,0.421657919883728,0.21028685569763184,0.14471888542175293,0.23757076263427734,0.17750286310911179,0.23757076263427734,0.6440855264663696
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.0)",0.04879371449351311,0.07165060192346573,0.07061856240034103,0.3988850861787796,0.23253750801086426,0.1775447130203247,0.3050485849380493,0.20504112541675568,0.3050486743450165,0.6349660754203796
