method,edge_mae,ler_mae,lwr_mae
Classical: Threshold + sub-pixel,0.27566015159805235,0.07265599918897703,0.042956396623761606
Classical: Threshold + sub-pixel,0.2874718840430778,0.09999077865307104,0.07912667677901886
Classical: Threshold + sub-pixel,0.273481643914991,0.09296246223905247,0.0765016129240399
Classical: Threshold + sub-pixel,0.2812495621783795,0.0876642614316947,0.05382586018038449
Classical: Threshold + sub-pixel,0.27370476308682806,0.07665514352682656,0.057499294733504236
Classical: Threshold + sub-pixel,0.2899671066276298,0.10014479922161179,0.06005874501111319
Classical: Threshold + sub-pixel,0.2973910727931343,0.09967675985353897,0.05716105562445439
Classical: Threshold + sub-pixel,0.29263461914915206,0.07992784042337597,0.07256633284999858
Classical: Threshold + sub-pixel,0.2947513670086966,0.09740307504230039,0.06457491593055198
Classical: Threshold + sub-pixel,0.29779927376620235,0.07667843852062539,0.0669057170589964
Classical: Threshold + sub-pixel,0.2932764659276137,0.07366978544535885,0.003363817335417796
Classical: Threshold + sub-pixel,0.3055728539740654,0.08677371813913792,0.022023455872102637
Classical: Threshold + sub-pixel,0.29239604654360263,0.07923259934297089,0.027928207670531613
Classical: Threshold + sub-pixel,0.19152792088775172,0.018665590350535943,0.0408132204371392
Classical: Threshold + sub-pixel,0.18706286851611392,0.015903966367979194,0.02106627759410573
Classical: Threshold + sub-pixel,0.19061167812914145,0.028258284851596205,0.01788739141699569
Classical: Threshold + sub-pixel,0.19779784968682756,0.03487543303265306,0.05147519271800416
Classical: Threshold + sub-pixel,0.18964652232739737,0.040462112071531386,0.07916621305777038
Classical: Threshold + sub-pixel,0.1930820146803065,0.02334360580715844,0.061233363731945545
Classical: Threshold + sub-pixel,0.19078713781933312,0.025583581206312545,0.04370225078339485
Classical: Threshold + sub-pixel,0.1967065997681348,0.038538658371646384,0.03705445416138531
Classical: Threshold + sub-pixel,0.1906830127044138,0.028893254893898268,0.04647411670167356
Classical: Threshold + sub-pixel,0.19009825897096538,0.008403401665764587,0.024772005160569766
Classical: Threshold + sub-pixel,0.20193457133823645,0.021362380642455214,0.020164614610160392
Classical: Threshold + sub-pixel,0.19676596136821836,0.0048143398479830735,0.012311264291165358
Classical: Threshold + sub-pixel,0.19878760930339734,0.01929594950905822,0.01516943801972559
Classical: Threshold + sub-pixel,0.20491693341062855,0.031039837796473124,0.05548524100497687
Classical: Threshold + sub-pixel,0.19194180729377763,0.022266342980772014,0.03292240629560794
Classical: Threshold + sub-pixel,0.21096562044108239,0.014306566143972965,0.03140089531708101
Classical: Threshold + sub-pixel,0.21374106825751518,0.01434967720941216,0.01671267668451737
Classical: Threshold + sub-pixel,0.2152675986885768,0.03178716792697134,0.032199366065156276
Classical: Threshold + sub-pixel,0.21348913477254167,0.012408617332880567,0.03126304286015924
Classical: Threshold + sub-pixel,0.21849831663758573,0.020254419157413217,0.006176779225672835
Classical: Threshold + sub-pixel,0.19009285239508456,0.02354141366027629,0.004541914994486973
Classical: Threshold + sub-pixel,0.1928351627124149,0.040446084979539165,0.020446286557451954
Classical: Threshold + sub-pixel,0.18668179833501153,0.015740700826896936,0.006087944209237195
Classical: Threshold + sub-pixel,0.18707986082376757,0.02356253897712446,0.02293168582535432
Classical: Threshold + sub-pixel,0.1908179344134341,0.038828234391573346,0.020822918615646335
Classical: Threshold + sub-pixel,0.19204394869199048,0.010152984554873457,0.020057875049969365
Classical: Threshold + sub-pixel,0.19124788961175407,0.015554294949342906,0.026852986296322046
Classical: Threshold + sub-pixel,0.18219325420014088,0.02954100083521327,0.029550890293206677
Classical: Threshold + sub-pixel,0.18472098066612275,0.025069379121161917,0.032061484652978756
Classical: Threshold + sub-pixel,0.19852389103695864,0.01918304977510754,0.0038894731435596963
Classical: Threshold + sub-pixel,0.20590423026882593,0.01270701412736086,0.011589078910009931
Classical: Threshold + sub-pixel,0.1941930292728928,0.0070565446940643595,0.00961559647104493
Classical: Threshold + sub-pixel,0.19728810535743874,0.038605772482209644,0.0012252360197315681
Classical: Threshold + sub-pixel,0.1920810587019974,0.018929063071990493,0.002098462783808097
Classical: Threshold + sub-pixel,0.2041916535269515,0.005106544374298583,0.009490156910819225
Classical: Threshold + sub-pixel,0.2147726369461804,0.03162880201983198,0.02747526473042372
Classical: Threshold + sub-pixel,0.21542908072432426,0.024345101259856783,0.002527159603013418
Classical: Threshold + sub-pixel,0.2057863692386273,0.01677688947338407,0.00950870010553273
Classical: Threshold + sub-pixel,0.2179207906993784,0.015023590402807097,0.03213595796468138
Classical: Threshold + sub-pixel,0.21953859475305573,0.02175686988687453,0.017656862826074926
Classical: Threshold + sub-pixel,0.23638513367862216,0.04281816865402177,0.061252757359735455
