d_sigma_L,d_sigma_R,d_sigma_W,d_pos,d_width,sigma_W_A,sigma_W_B,method,pair,y_A,width_px,ncc
0.5922760963439941,0.26705241203308105,0.5724329948425293,2.668731384127887,0.9286921684868297,4.812510967254639,5.384943962097168,classical,sem0038.png->sem0026.png,1068,25.0,0.6751767992973328
0.2725553512573242,0.5976457595825195,1.0868597030639648,4.8770904541015625,0.5213470458984375,9.67060661315918,8.583746910095215,learned,sem0038.png->sem0026.png,1068,25.0,0.6751767992973328
0.49596071243286133,1.1628177165985107,0.2392749786376953,4.572229043577243,4.464465315985919,4.292278289794922,4.053003311157227,classical,sem0038.png->sem0026.png,1158,22.5,0.6751767992973328
0.08324146270751953,0.44021034240722656,0.18596839904785156,7.063740253448486,2.5209693908691406,8.232978820800781,8.04701042175293,learned,sem0038.png->sem0026.png,1158,22.5,0.6751767992973328
0.5920095443725586,0.3021976947784424,0.20450305938720703,3.916480829336718,1.18129924272327,5.839539527893066,6.044042587280273,classical,sem0038.png->sem0026.png,1200,22.5,0.6751767992973328
0.049427032470703125,0.5349483489990234,0.5836820602416992,6.638026237487793,0.14253997802734375,9.248746871948242,9.832428932189941,learned,sem0038.png->sem0026.png,1200,22.5,0.6751767992973328
0.5406210422515869,0.14604854583740234,0.6692051887512207,1.495398428594026,1.9862323244634865,8.60770320892334,7.938498020172119,classical,sem0038.png->sem0026.png,1790,20.0,0.6751767992973328
0.05307722091674805,0.38709115982055664,0.21870899200439453,5.654895782470703,0.10932159423828125,8.391251564025879,8.172542572021484,learned,sem0038.png->sem0026.png,1790,20.0,0.6751767992973328
0.6828370094299316,0.3597831726074219,1.0395865440368652,4.146793211880336,2.570154063428987,5.867821216583252,6.907407760620117,classical,sem0038.png->sem0026.png,1883,20.0,0.6751767992973328
0.3526344299316406,0.26799964904785156,0.8144054412841797,8.385945320129395,0.37213897705078125,11.88796615600586,11.07356071472168,learned,sem0038.png->sem0026.png,1883,20.0,0.6751767992973328
0.27903175354003906,1.0971641540527344,0.6564841270446777,2.611058013092334,1.993777848134485,6.918233394622803,7.5747175216674805,classical,sem0038.png->sem0026.png,1927,22.5,0.6751767992973328
0.4867563247680664,0.2117156982421875,0.05494403839111328,5.254971504211426,0.2615394592285156,8.853145599365234,8.908089637756348,learned,sem0038.png->sem0026.png,1927,22.5,0.6751767992973328
0.6340498924255371,0.6057090759277344,1.2561159133911133,1.4368250502458588,2.1370081381309447,9.286442756652832,8.030326843261719,classical,sem0038.png->sem0026.png,1972,21.5,0.6751767992973328
0.1630387306213379,0.4895472526550293,0.10690593719482422,5.69185733795166,0.5722198486328125,8.722551345825195,8.615645408630371,learned,sem0038.png->sem0026.png,1972,21.5,0.6751767992973328
0.07223224639892578,0.09428894519805908,0.007379770278930664,1.9812155282583372,0.02198216317108148,2.421494960784912,2.4288747310638428,classical,sem0038.png->sem0026.png,2019,21.5,0.6751767992973328
0.3737642765045166,0.6358009576797485,0.5651922225952148,4.143685817718506,0.1651611328125,4.900845050811768,4.335652828216553,learned,sem0038.png->sem0026.png,2019,21.5,0.6751767992973328
0.15220725536346436,0.06723296642303467,0.020918607711791992,1.927259447068399,0.02945022426033006,2.4780654907226562,2.4571468830108643,classical,sem0038.png->sem0026.png,2064,22.0,0.6751767992973328
0.17893528938293457,0.02678847312927246,0.040590763092041016,2.508511543273926,0.1289215087890625,3.777554512023926,3.7369637489318848,learned,sem0038.png->sem0026.png,2064,22.0,0.6751767992973328
0.28206634521484375,0.6469974517822266,0.5047397613525391,1.7163979165937786,1.0559509100046114,10.1084566116333,9.603716850280762,classical,sem0038.png->sem0026.png,2109,22.0,0.6751767992973328
0.20014095306396484,0.24666118621826172,0.2946329116821289,4.952096939086914,0.3282928466796875,8.410012245178223,8.704645156860352,learned,sem0038.png->sem0026.png,2109,22.0,0.6751767992973328
0.19329237937927246,0.5908913612365723,0.2749180793762207,3.3833888984120333,2.307914814810374,5.947015762329102,5.672097682952881,classical,sem0038.png->sem0026.png,2195,16.5,0.6751767992973328
0.7773799896240234,0.8359332084655762,1.968343734741211,7.362658500671387,3.1826858520507812,12.545164108276367,10.576820373535156,learned,sem0038.png->sem0026.png,2195,16.5,0.6751767992973328
0.22541046142578125,0.09806180000305176,0.09823322296142578,1.9878360328409899,0.9202819971811351,8.933551788330078,9.031785011291504,classical,sem0038.png->sem0026.png,2245,23.5,0.6751767992973328
0.1167287826538086,0.3928341865539551,0.4868936538696289,3.636359691619873,0.5395355224609375,8.756705284118652,8.269811630249023,learned,sem0038.png->sem0026.png,2245,23.5,0.6751767992973328
0.017259597778320312,0.5906543731689453,0.6300668716430664,1.7985981946207377,1.2097189463637221,8.50612735748291,7.876060485839844,classical,sem0038.png->sem0026.png,2290,22.5,0.6751767992973328
0.5608835220336914,0.24270057678222656,0.5394601821899414,4.547194957733154,0.26319122314453125,8.712475776672363,8.173015594482422,learned,sem0038.png->sem0026.png,2290,22.5,0.6751767992973328
0.23461151123046875,0.4198768138885498,0.20962905883789062,1.1867264132740503,0.013038853249021543,8.401376724243164,8.191747665405273,classical,sem0038.png->sem0026.png,2469,24.0,0.6751767992973328
0.42797374725341797,0.08707523345947266,0.20695114135742188,5.5691423416137695,0.6149826049804688,8.667607307434082,8.46065616607666,learned,sem0038.png->sem0026.png,2469,24.0,0.6751767992973328
0.03808748722076416,0.020698189735412598,0.04624176025390625,2.154142467305393,0.3308280262326164,2.124128580093384,2.17037034034729,classical,sem0038.png->sem0026.png,2609,21.5,0.6751767992973328
0.28624820709228516,0.18741631507873535,0.8907957077026367,5.801141738891602,0.048004150390625,5.421568393707275,6.312364101409912,learned,sem0038.png->sem0026.png,2609,21.5,0.6751767992973328
0.3365631103515625,0.5665955543518066,0.9972906112670898,2.197200237000593,1.730622967420402,10.731987953186035,9.734697341918945,classical,sem0038.png->sem0026.png,2654,21.5,0.6751767992973328
0.9511899948120117,0.6445865631103516,0.8144845962524414,6.08651065826416,0.8511543273925781,8.440986633300781,7.62650203704834,learned,sem0038.png->sem0026.png,2654,21.5,0.6751767992973328
0.29302263259887695,0.026772499084472656,0.3133544921875,1.6571071637926007,0.16190801525117848,10.546112060546875,10.232757568359375,classical,sem0038.png->sem0026.png,2788,23.5,0.6751767992973328
0.33924198150634766,0.08588647842407227,0.2224893569946289,5.038985252380371,0.0935821533203125,8.756027221679688,8.978516578674316,learned,sem0038.png->sem0026.png,2788,23.5,0.6751767992973328
0.15772795677185059,0.09094500541687012,0.10613226890563965,2.0487922221578625,0.18696977442255047,2.1331911087036133,2.239323377609253,classical,sem0038.png->sem0026.png,2836,23.5,0.6751767992973328
0.1463603973388672,0.06050610542297363,0.31806159019470215,3.7588305473327637,0.4299125671386719,3.9098188877105713,3.591757297515869,learned,sem0038.png->sem0026.png,2836,23.5,0.6751767992973328
0.19286370277404785,0.36443424224853516,0.4582805633544922,3.2679842860910595,2.442454368340851,6.265499591827393,6.723780155181885,classical,sem0038.png->sem0026.png,3104,24.0,0.6751767992973328
0.03870344161987305,0.23155689239501953,0.7237892150878906,5.890316963195801,0.143646240234375,9.028253555297852,8.304464340209961,learned,sem0038.png->sem0026.png,3104,24.0,0.6751767992973328
0.4494638442993164,0.06961202621459961,0.568242073059082,1.57372630429687,0.6398124063240971,9.112099647521973,8.54385757446289,classical,sem0038.png->sem0026.png,3377,24.0,0.6751767992973328
