method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.3)",0.00195868918672204,0.002572526689618826,0.003132770536467433,0.05781633034348488,0.020827293395996094,0.00914621353149414,0.027314186096191406,0.014986738562583923,0.027314186096191406,0.19323080033063889
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.3)",0.002092260168865323,0.0013796313432976604,0.0033667022362351418,0.05885790288448334,0.009397029876708984,0.004624605178833008,0.006268501281738281,0.007010810077190399,0.0062685757875442505,0.19874180853366852
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.3)",0.00270165060646832,0.0036319212522357702,0.0032362700439989567,0.05743500962853432,0.009030580520629883,0.02263939380645752,0.010348677635192871,0.01583501696586609,0.010348737239837646,0.19833852350711823
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.3)",0.003945511300116777,0.005239215213805437,0.007750896271318197,0.08822403475642204,0.0030678510665893555,0.018564701080322266,0.024105429649353027,0.011368907988071442,0.02410547435283661,0.20693358033895493
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.3)",0.0030132485553622246,0.002410861663520336,0.003733765333890915,0.08585985004901886,0.03222036361694336,0.002757549285888672,0.03292274475097656,0.01777830719947815,0.03292277455329895,0.20634251832962036
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.3)",0.0037133668083697557,0.0025436326395720243,0.005748802330344915,0.08667357638478279,0.004955172538757324,0.004790902137756348,0.011760354042053223,0.004873096942901611,0.011760279536247253,0.20597780495882034
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.3)",0.0024531909730285406,0.0036159264855086803,0.006924912799149752,0.08731231465935707,0.02733314037322998,0.003595709800720215,0.001567244529724121,0.015570349991321564,0.005737707018852234,0.20242667198181152
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.3)",0.005206841044127941,0.005324049852788448,0.0095066512003541,0.13290390372276306,0.005707859992980957,0.012818574905395508,0.0022897720336914062,0.009559772908687592,0.007627144455909729,0.21501486003398895
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.3)",0.006774581037461758,0.006706863176077604,0.008165275678038597,0.13121894747018814,0.0047931671142578125,0.021976709365844727,0.008632183074951172,0.014456920325756073,0.010433927178382874,0.22023500502109528
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.3)",0.006364188622683287,0.002911842195317149,0.006021460052579641,0.1336379274725914,0.005945682525634766,0.021857619285583496,0.004773736000061035,0.013935931026935577,0.006577983498573303,0.22160126268863678
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.3)",0.0036428773310035467,0.00337400590069592,0.006418570876121521,0.13206180930137634,0.012218117713928223,0.0004889965057373047,0.015848159790039062,0.007503502070903778,0.01584818959236145,0.21875979006290436
seg-only,0,0.3,"(1.5, 8.0, 0.7, 0.6)",0.0018875660607591271,0.001600042567588389,0.0010618859669193625,0.03077933005988598,0.019910812377929688,0.0278167724609375,0.0046138763427734375,0.023863770067691803,0.0046138763427734375,0.1964935064315796
seg-only,0,0.3,"(1.5, 8.0, 0.7, 0.6)",0.001665451331064105,0.0018768388545140624,0.0013790682423859835,0.030734337866306305,0.006098270416259766,0.026363253593444824,0.02112269401550293,0.016230791807174683,0.02112269401550293,0.20023640990257263
seg-only,0,0.3,"(1.5, 8.0, 0.7, 0.6)",0.0018090817611664534,0.001384568284265697,0.0013968212297186255,0.031344722025096416,0.0106428861618042,0.013732314109802246,0.03915572166442871,0.01218762993812561,0.03915570676326752,0.1834712252020836
seg-only,0,0.3,"(1.5, 8.0, 0.7, 0.6)",0.00042365744593553245,0.001189033268019557,0.0019966622348874807,0.031621553003787994,0.005344748497009277,0.015689492225646973,0.012435555458068848,0.01051715761423111,0.01243560016155243,0.20011642575263977
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.6)",0.0015791829209774733,0.0029092321638017893,0.0030176967848092318,0.059397369623184204,0.015526056289672852,0.03421735763549805,0.0026613473892211914,0.0248715877532959,0.0032639652490615845,0.19941090047359467
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.6)",0.002883528359234333,0.0018351480830460787,0.004006992559880018,0.05789767578244209,0.012166261672973633,0.019518613815307617,0.009312629699707031,0.015842430293560028,0.00931258499622345,0.19747983664274216
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.6)",0.003358461195603013,0.0015584303764626384,0.004210041370242834,0.05888407677412033,0.009065389633178711,0.022876858711242676,0.0005718469619750977,0.015971161425113678,0.003441721200942993,0.1920272707939148
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.6)",0.003290531923994422,0.003601354081183672,0.003746155183762312,0.05835339426994324,0.007868289947509766,0.018328070640563965,0.004343748092651367,0.013098172843456268,0.004457145929336548,0.19858533889055252
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.6)",0.004430430941283703,0.004747875966131687,0.005856624338775873,0.0871870331466198,0.013719439506530762,0.00457608699798584,0.017361164093017578,0.00951126217842102,0.017361104488372803,0.2023332491517067
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.6)",0.0035509185399860144,0.003919354174286127,0.0061071510426700115,0.08507365733385086,0.020867109298706055,0.005050778388977051,0.007442593574523926,0.013051681220531464,0.008814215660095215,0.20810174196958542
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.6)",0.0035049160942435265,0.004506586119532585,0.00457014562562108,0.08811322972178459,0.0034192800521850586,0.005575299263000488,0.007588386535644531,0.00491979718208313,0.007588431239128113,0.20903388410806656
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.6)",0.004811092279851437,0.0035714569967240095,0.007142470683902502,0.08726511150598526,0.010717391967773438,0.00999605655670166,0.023517131805419922,0.010356731712818146,0.02351720631122589,0.2000972032546997
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.6)",0.005885193590074778,0.006311267148703337,0.010386286303400993,0.1346098557114601,0.001317143440246582,0.01819002628326416,0.016875386238098145,0.011451125144958496,0.017701059579849243,0.21663748472929
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.6)",0.005295207723975182,0.004106524866074324,0.007658050395548344,0.12901128083467484,0.008006095886230469,0.020739436149597168,0.0412060022354126,0.014485284686088562,0.04120604693889618,0.2185906320810318
