method,config,edge_mae,ler_mae,lwr_mae,seed
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6856733560562134,0.24763387441635132,0.39437317848205566,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6603258550167084,0.264467716217041,0.32065844535827637,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.7057141959667206,0.23539859056472778,0.3777815103530884,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6602700650691986,0.2186814546585083,0.3297097682952881,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6783480942249298,0.28359824419021606,0.4245821237564087,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6268216371536255,0.2324211597442627,0.23380613327026367,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6796676814556122,0.2414059042930603,0.3744407892227173,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6912032961845398,0.32735300064086914,0.42563843727111816,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6936599314212799,0.25360381603240967,0.3664398193359375,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6991015374660492,0.24520152807235718,0.37066805362701416,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6694319844245911,0.2501288056373596,0.3144986629486084,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.7035917639732361,0.3074638843536377,0.42094898223876953,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6674332916736603,0.22436821460723877,0.27969658374786377,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6747455298900604,0.19896453619003296,0.33480751514434814,0
seg-only,"(1.5, 20.0, 0.3, 0.0)",0.6867881417274475,0.2796764373779297,0.47592318058013916,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.667181670665741,0.2743186354637146,0.2688918113708496,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6972432732582092,0.23377364873886108,0.18421828746795654,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6710816025733948,0.23275834321975708,0.3230926990509033,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6831527650356293,0.28002017736434937,0.3094097375869751,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.7142124176025391,0.26341599225997925,0.26460516452789307,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6575744152069092,0.2154172658920288,0.2720290422439575,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6752969622612,0.241161048412323,0.38806629180908203,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.665338397026062,0.24408185482025146,0.23285651206970215,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6455225944519043,0.15076035261154175,0.0731053352355957,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6859701871871948,0.20904433727264404,0.2666970491409302,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.652073472738266,0.2254098653793335,0.30781102180480957,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6756126880645752,0.29147034883499146,0.3189319372177124,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.652494341135025,0.22566282749176025,0.23374414443969727,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6568492650985718,0.20346319675445557,0.3603479862213135,0
seg-only,"(1.5, 20.0, 0.3, 0.3)",0.6766709387302399,0.2403501272201538,0.3224308490753174,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.7229698002338409,0.1715269684791565,0.07150018215179443,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6665363609790802,0.26653921604156494,0.02726006507873535,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6949042975902557,0.15026849508285522,0.18640673160552979,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6523221433162689,0.30145224928855896,0.21614325046539307,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6992949843406677,0.2733244299888611,0.19654548168182373,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6909191906452179,0.3045461177825928,0.06452763080596924,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.7255874872207642,0.2524781823158264,0.2001703977584839,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.67866051197052,0.23460844159126282,0.12917959690093994,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.7065869271755219,0.3060634136199951,0.16531431674957275,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6821995079517365,0.25172239542007446,0.07209038734436035,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6968017816543579,0.2217574119567871,0.1983170509338379,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6808291375637054,0.3139866590499878,0.25835084915161133,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6636851727962494,0.20614475011825562,0.17673766613006592,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6675513982772827,0.23758864402770996,0.20328044891357422,0
seg-only,"(1.5, 20.0, 0.3, 0.6)",0.6747464239597321,0.22647356986999512,0.16753017902374268,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6847959756851196,0.2274739146232605,0.4000509977340698,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.682129442691803,0.27840811014175415,0.4453078508377075,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.64840167760849,0.18451011180877686,0.2928791046142578,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6783510744571686,0.29073840379714966,0.452986478805542,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6987959444522858,0.2697938084602356,0.4650038480758667,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6722070276737213,0.2638236880302429,0.49217844009399414,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.7094725966453552,0.19892585277557373,0.3362196683883667,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6544273793697357,0.1819922924041748,0.3053147792816162,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6477183699607849,0.17789030075073242,0.34296178817749023,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6510764360427856,0.2219160795211792,0.3315087556838989,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6717480719089508,0.2747945189476013,0.4482457637786865,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6408608257770538,0.17984157800674438,0.2901756763458252,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6491455435752869,0.24898183345794678,0.4047372341156006,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6874333620071411,0.2439028024673462,0.3907134532928467,0
seg-only,"(1.5, 20.0, 0.3, -0.3)",0.6984712183475494,0.26749640703201294,0.4655489921569824,0
seg-only,"(1.5, 20.0, 0.7, 0.0)",0.4190276712179184,0.05480086803436279,0.046294450759887695,0
seg-only,"(1.5, 20.0, 0.7, 0.0)",0.43168093264102936,0.032778918743133545,0.002741694450378418,0
seg-only,"(1.5, 20.0, 0.7, 0.0)",0.43292689323425293,0.04435986280441284,0.01985645294189453,0
