method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",5.217566013336182,0.5247382521629333,5.08105993270874,7.519992828369141,5.168607234954834,0.43890380859375,5.006224632263184,7.513930797576904,5.451859951019287,0.5394138097763062,5.234210968017578,7.936792373657227,5.279344399770101
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",5.397375106811523,0.5120513439178467,5.490441799163818,7.5590739250183105,5.27021598815918,0.6290623545646667,5.272000312805176,7.410502910614014,5.680298805236816,0.7301017045974731,5.629195213317871,8.016108512878418,5.449296633402507
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",5.467687606811523,0.6245045065879822,5.555178165435791,7.615511894226074,5.239522933959961,0.8195444345474243,4.767164707183838,7.751871109008789,5.515365123748779,0.7065317034721375,5.189835548400879,8.060356140136719,5.407525221506755
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",5.248629570007324,0.35592567920684814,5.261488914489746,7.493941307067871,5.3069329261779785,0.5282437801361084,5.228828430175781,7.5905866622924805,5.441797733306885,0.49846434593200684,5.409564971923828,7.755568981170654,5.3324534098307295
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",5.508397102355957,0.6777079105377197,5.497744083404541,7.748599052429199,5.343652725219727,0.7228426933288574,5.233926773071289,7.586060047149658,5.664832592010498,0.7132427096366882,5.654379844665527,7.960635662078857,5.505627473195394
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",5.194909572601318,0.39240360260009766,5.174699306488037,7.431662082672119,5.3212480545043945,0.5179239511489868,5.298519134521484,7.560897350311279,5.436481475830078,0.4532855451107025,5.438023567199707,7.73487663269043,5.317546367645264
seg-only,0,"(1.5, 8.0, 0.3, -0.3)",5.284292221069336,0.3063987195491791,5.063892841339111,7.802181243896484,5.16901159286499,0.7463949918746948,5.056468963623047,7.322762966156006,5.405291557312012,0.5548133850097656,5.24491024017334,7.804355144500732,5.286198457082112
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.620530128479004,0.6224327683448792,4.768010139465332,6.318325519561768,4.250153541564941,0.4882928729057312,4.129244804382324,6.107306003570557,4.446140289306641,0.46000057458877563,4.610438823699951,6.121598243713379,4.438941319783528
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.350957870483398,0.5965636968612671,4.13120698928833,6.303506851196289,4.267086029052734,0.4070283770561218,4.395389556884766,5.920348167419434,4.421261787414551,0.6134767532348633,4.467252254486084,6.132709503173828,4.3464352289835615
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.812075614929199,0.5510576963424683,4.915870189666748,6.674905776977539,4.393708229064941,0.3716387152671814,4.497972011566162,6.1457839012146,4.597399711608887,0.5389448404312134,4.698060512542725,6.369872570037842,4.601061185201009
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.274569511413574,0.43031567335128784,4.1321635246276855,6.191247463226318,4.306557655334473,0.36532825231552124,4.3933000564575195,6.038845062255859,4.451684474945068,0.5793631076812744,4.554851055145264,6.135743618011475,4.344270547231038
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.55172061920166,0.45265746116638184,4.380178928375244,6.615138530731201,4.295024394989014,0.39687633514404297,4.2382707595825195,6.150923728942871,4.38401985168457,0.5158740878105164,4.421159744262695,6.132178783416748,4.410254955291748
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.510772705078125,0.374429315328598,4.618075370788574,6.312552452087402,4.372788429260254,0.614084005355835,4.3387956619262695,6.141567707061768,4.553679466247559,0.5579056143760681,4.6785712242126465,6.27299165725708,4.4790802001953125
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.616753578186035,0.3998156487941742,4.828150272369385,6.35163688659668,4.200162887573242,0.41149771213531494,4.074937343597412,6.07400369644165,4.447652816772461,0.3999496102333069,4.2838053703308105,6.479671001434326,4.421523094177246
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.737181663513184,0.7440998554229736,4.78932523727417,6.528000354766846,4.073946952819824,0.3160715699195862,4.04168701171875,5.840611457824707,4.324719429016113,0.4719540476799011,4.322371959686279,6.105266571044922,4.378616015116374
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.640596389770508,0.5512725710868835,4.655745029449463,6.512828350067139,4.2592597007751465,0.5241450071334839,4.069008827209473,6.173410415649414,4.305637836456299,0.5875194668769836,4.021679401397705,6.305652141571045,4.401831309000651
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.664478302001953,0.6384658813476562,4.677505016326904,6.509612083435059,4.271510601043701,0.344402551651001,4.015422821044922,6.3401103019714355,4.345369338989258,0.28727614879608154,4.28598690032959,6.277718544006348,4.427119414011638
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.651611328125,0.4062659442424774,5.055630207061768,6.20698356628418,4.537398815155029,0.6741246581077576,4.428708076477051,6.429139614105225,4.532586574554443,0.505342960357666,4.605112552642822,6.318788051605225,4.573865572611491
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.415144920349121,0.44750890135765076,4.605261325836182,6.05624532699585,4.332309722900391,0.3793181777000427,4.193112373352051,6.295965194702148,4.423774719238281,0.43686971068382263,4.273938179016113,6.413721084594727,4.390409787495931
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.661134719848633,0.5316020250320435,4.751578330993652,6.476629734039307,4.408785343170166,0.3419775664806366,4.654141426086426,6.04041862487793,4.50732946395874,0.44840532541275024,4.670050144195557,6.217958927154541,4.525749842325847
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.496078014373779,0.47585922479629517,4.414274215698242,6.4333672523498535,4.433165073394775,0.5576024055480957,4.37345027923584,6.281601905822754,4.314408302307129,0.5941671133041382,4.286435127258301,6.059417247772217,4.4145504633585615
seg-only,0,"(1.5, 8.0, 0.7, 0.0)",4.571637153625488,0.7682525515556335,4.485970973968506,6.412713050842285,4.3388261795043945,0.432262659072876,4.570556163787842,5.910124778747559,4.196101665496826,0.6251910924911499,4.464933395385742,5.575382709503174,4.368854999542236
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",4.551542282104492,0.4546697735786438,4.589025020599365,6.404924392700195,4.40659761428833,0.6563988924026489,4.562107563018799,5.9819488525390625,4.14263916015625,0.4445783793926239,4.005800724029541,5.986275672912598,4.366926352183024
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",4.339576244354248,0.6251487731933594,4.469097137451172,5.924407005310059,4.26603364944458,0.35837405920028687,4.182190895080566,6.153411865234375,4.164953708648682,0.6757900714874268,3.909371852874756,6.030919075012207,4.25685453414917
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",4.575119972229004,0.4222576320171356,4.538754463195801,6.528191566467285,4.25825309753418,0.4033519923686981,4.3136420249938965,5.982049942016602,4.270347595214844,0.5792112350463867,4.120871067047119,6.123425483703613,4.367906888326009
seg-only,0,"(1.5, 8.0, 0.7, 0.3)",4.765650272369385,0.7122758626937866,4.8943328857421875,6.507756233215332,4.635636329650879,0.7262520790100098,4.574697971343994,6.500906467437744,4.216366767883301,0.45734938979148865,4.043877124786377,6.123788356781006,4.5392177899678545
