detector,localization,k_n,edge_mae,ler_mae,lwr_mae
threshold,sub-pixel,2.0,0.2853710711121979,0.08916149293310838,0.11878023836754359
canny,pixel,2.0,0.5171747039540515,0.18635721510230363,0.2914240305656213
canny,sub-pixel,2.0,0.30875780133037944,0.10787783013694052,0.17671299182070221
threshold,pixel,2.0,0.4243645871940813,0.07365082401437173,0.11998763156095915
threshold,sub-pixel,2.0,0.28375932024250794,0.08134783046160432,0.15286734689851889
canny,pixel,2.0,0.4920185250953848,0.2102688914235935,0.27932361161928765
canny,sub-pixel,2.0,0.29021289860366717,0.08925297796635623,0.16694056512847566
threshold,pixel,4.0,0.43999056636910006,0.06659378079061129,0.11017874965719288
threshold,sub-pixel,4.0,0.30963872997144404,0.09528120773877802,0.13664568603440208
canny,pixel,4.0,0.5824154200952002,0.22990818338053498,0.28950212968091127
canny,sub-pixel,4.0,0.37796245240193144,0.12042949015563365,0.14645082439848012
threshold,pixel,4.0,0.4337503240842808,0.06374317676505536,0.124257586094779
threshold,sub-pixel,4.0,0.30561261722563315,0.08964294593619593,0.1444367457469795
canny,pixel,4.0,0.5746019055537157,0.21838167709434764,0.2627750809529352
canny,sub-pixel,4.0,0.37949979453600313,0.11255236804162616,0.14760075415894391
threshold,pixel,4.0,0.4207969472499228,0.04011323697578495,0.056423027496540934
threshold,sub-pixel,4.0,0.30014331346782575,0.06930516451229984,0.10517058251501932
canny,pixel,4.0,0.5744906485074011,0.1825763721725262,0.19127561991714614
canny,sub-pixel,4.0,0.3738432807127946,0.0943399672934957,0.09279298075550368
threshold,pixel,4.0,0.4216085801372011,0.06603449593858335,0.09124735106396775
threshold,sub-pixel,4.0,0.3043771005060203,0.09243997083252031,0.10911848511318523
canny,pixel,4.0,0.5831438011295729,0.20127265919818638,0.22096325586923338
canny,sub-pixel,4.0,0.3959639289197032,0.1202231954523647,0.09535221646949288
threshold,pixel,4.0,0.41103491031409545,0.060079608702490184,0.08923853139226567
threshold,sub-pixel,4.0,0.29260402064862795,0.08017751317411659,0.11984746399394175
canny,pixel,4.0,0.5661907512350783,0.21761082419598765,0.2913800369608037
canny,sub-pixel,4.0,0.3833080962560694,0.12291810370895495,0.14585894569857882
threshold,pixel,4.0,0.42945683982559624,0.06528671809106024,0.07995603641105475
threshold,sub-pixel,4.0,0.30100069148511727,0.08883471038756019,0.12201540016797097
canny,pixel,4.0,0.5743755746533222,0.19580770848242302,0.28443978749514587
canny,sub-pixel,4.0,0.36738689170124517,0.10518790997079319,0.17763732065772997
threshold,pixel,4.0,0.42868200290436825,0.06550427761201216,0.10922036864259055
threshold,sub-pixel,4.0,0.30294973643246526,0.06872004458405578,0.1071206791344601
canny,pixel,4.0,0.5610100697082416,0.18067622617539836,0.1665467513243064
canny,sub-pixel,4.0,0.3764270561143426,0.0919992675104474,0.07595815082375501
threshold,pixel,4.0,0.42851646242002295,0.0712103264908428,0.08694099537035438
threshold,sub-pixel,4.0,0.3055964239824505,0.09678298586173029,0.11830833399380447
canny,pixel,4.0,0.6055623385341093,0.23305735641703074,0.3570041642101285
canny,sub-pixel,4.0,0.416170935690374,0.13057445103359822,0.1783167976706279
threshold,pixel,4.0,0.43449911051775925,0.05068673837457216,0.10837425074006823
threshold,sub-pixel,4.0,0.3107600883574564,0.07886110046646033,0.14196258331960232
canny,pixel,4.0,0.5654641739924616,0.20431755524570316,0.3499866609317397
canny,sub-pixel,4.0,0.37869491198951466,0.10309460431291229,0.19251338075870006
threshold,pixel,4.0,0.42283218181505544,0.051234789391612634,0.07261690484922001
threshold,sub-pixel,4.0,0.30601825117976894,0.07240300754172269,0.1159459894126944
canny,pixel,4.0,0.5915937436476384,0.2112937534614462,0.23308127571155746
canny,sub-pixel,4.0,0.4072147901523472,0.12262149564733837,0.1038785115881029
threshold,pixel,4.0,0.42416824202944914,0.07746921210691826,0.10650250240292314
threshold,sub-pixel,4.0,0.2959237052437311,0.09068621286225387,0.13847736629409524
canny,pixel,4.0,0.5575289984731219,0.1813481121039785,0.28979931591137764
canny,sub-pixel,4.0,0.3717779477738685,0.10291409029482668,0.20277798303084893
threshold,pixel,4.0,0.41262258647279626,0.06197771370469485,0.10022477191655588
threshold,sub-pixel,4.0,0.3051226055646247,0.08438474396044482,0.12708789037038937
canny,pixel,4.0,0.5684059575051733,0.23594704741751826,0.34493552065108424
canny,sub-pixel,4.0,0.3949149007674486,0.13194926584765265,0.1559007698527033
threshold,pixel,4.0,0.43975271700180085,0.048716435292305404,0.10160062781030854
threshold,sub-pixel,4.0,0.3061904798415085,0.07872201382098598,0.11654159964102462
canny,pixel,4.0,0.5487921498632087,0.2017944374437649,0.33862276651388656
canny,sub-pixel,4.0,0.36792403976677784,0.10586999860591395,0.17365219461852277
threshold,pixel,4.0,0.4238840381067427,0.05795876245170262,0.09452737630498875
threshold,sub-pixel,4.0,0.2941940228346227,0.08194975189257114,0.12861008196721957
canny,pixel,4.0,0.5761167116688481,0.16877128446365597,0.2264707256449796
canny,sub-pixel,4.0,0.39313730041196365,0.08045307312033345,0.11729456492503099
threshold,pixel,4.0,0.4243388138273136,0.06489131494092137,0.08493894575226713
threshold,sub-pixel,4.0,0.30439133548208397,0.08893693912898482,0.11667179634319158
canny,pixel,4.0,0.5722427619154075,0.223111646666455,0.32283342535163384
canny,sub-pixel,4.0,0.3883117028409014,0.11669684024603288,0.17403019261244324
threshold,pixel,0.3,0.41194331689652103,0.09296820261031091,0.0880329407435616
threshold,sub-pixel,0.3,0.2800483082440465,0.08954130149765882,0.09185967605604861
canny,pixel,0.3,0.4906533606172299,0.2187189027619051,0.21055432992900425
canny,sub-pixel,0.3,0.2800483082440465,0.08954130149765882,0.09185967605604861
threshold,pixel,0.3,0.4213262282070662,0.049401173888822814,0.04859775109112685
threshold,sub-pixel,0.3,0.2745462707205655,0.08135281699763142,0.0852697993949616
canny,pixel,0.3,0.48718316810963075,0.18374666420569818,0.19619770941638226
canny,sub-pixel,0.3,0.2745462707205655,0.08135281699763142,0.0852697993949616
threshold,pixel,0.3,0.42293834922305473,0.08830736055793953,0.10068036482839138
threshold,sub-pixel,0.3,0.2827262098979932,0.08793403951079815,0.10024170750444017
canny,pixel,0.3,0.4935155661099888,0.19137712184674782,0.228891172832149
canny,sub-pixel,0.3,0.2827262098979932,0.08793403951079815,0.10024170750444017
threshold,pixel,0.3,0.4105522316231325,0.0808254897740116,0.10256395873788571
threshold,sub-pixel,0.3,0.27433125855726126,0.07604547231095782,0.1133903584834457
canny,pixel,0.3,0.47860016666908645,0.17737987141179778,0.244743048328667
canny,sub-pixel,0.3,0.27433125855726126,0.07604547231095782,0.1133903584834457
threshold,pixel,0.3,0.4196306409781154,0.09744132229833868,0.13698815194649105
threshold,sub-pixel,0.3,0.2803791245171272,0.09468603303935841,0.11652966345635174
canny,pixel,0.3,0.4906516398117988,0.19838151070336907,0.20559263165773767
canny,sub-pixel,0.3,0.2803791245171272,0.09468603303935841,0.11652966345635174
threshold,pixel,0.3,0.4399599286975169,0.10808401294280534,0.10470228064129272
threshold,sub-pixel,0.3,0.28425200642147896,0.10189602003192688,0.12366602411675887
canny,pixel,0.3,0.499979976823092,0.19833606577051155,0.18719038837726698
canny,sub-pixel,0.3,0.28425200642147896,0.10189602003192688,0.12366602411675887
threshold,pixel,0.3,0.42424646611078676,0.10311688722274781,0.09904045607816614
threshold,sub-pixel,0.3,0.27468273298388424,0.09389808745140193,0.10646504517426347
canny,pixel,0.3,0.482236977402681,0.19741376349903283,0.20018545175228297
canny,sub-pixel,0.3,0.27468273298388424,0.09389808745140193,0.10646504517426347
threshold,pixel,0.3,0.4199699006881669,0.08299848167461654,0.08916685060551321
threshold,sub-pixel,0.3,0.28118829243500293,0.08664407801532836,0.09317375572888209
canny,pixel,0.3,0.4957323997401199,0.1978987203759267,0.21344399069096465
canny,sub-pixel,0.3,0.28118829243500293,0.08664407801532836,0.09317375572888209
threshold,pixel,0.3,0.41362235268935577,0.09581674453775135,0.08877702273123456
threshold,sub-pixel,0.3,0.2726900302654475,0.10019247224283645,0.10625089033236335
canny,pixel,0.3,0.49577454525716,0.19377572473710725,0.18942559139687587
canny,sub-pixel,0.3,0.2726900302654475,0.10019247224283645,0.10625089033236335
threshold,pixel,0.3,0.4110500431999422,0.08700876087829901,0.1083748781950431
threshold,sub-pixel,0.3,0.2776420436137801,0.09268589600942323,0.09989320912117727
canny,pixel,0.3,0.4895202592361666,0.20892404189362057,0.2156889015244814
canny,sub-pixel,0.3,0.2776420436137801,0.09268589600942323,0.09989320912117727
threshold,pixel,0.3,0.4159981290232411,0.08613029644520132,0.08764153025631183
threshold,sub-pixel,0.3,0.2727800419882709,0.08643349866757288,0.10634995223645793
canny,pixel,0.3,0.4879552772873173,0.1997672409087521,0.21559834572035608
canny,sub-pixel,0.3,0.2727800419882709,0.08643349866757288,0.10634995223645793
threshold,pixel,0.3,0.40966652654245717,0.08853354738333852,0.08470513460091889
threshold,sub-pixel,0.3,0.28398506961642794,0.10212543857980239,0.12154347765184825
canny,pixel,0.3,0.48294290308378485,0.2029604527523695,0.20204161027718914
canny,sub-pixel,0.3,0.28398506961642794,0.10212543857980239,0.12154347765184825
threshold,pixel,0.3,0.422375254562943,0.06817960442264825,0.0664009840966926
threshold,sub-pixel,0.3,0.28457122821676606,0.08347533391530004,0.08149239360740057
canny,pixel,0.3,0.4958508804756582,0.1916043742573108,0.21610116515948863
canny,sub-pixel,0.3,0.28457122821676606,0.08347533391530004,0.08149239360740057
threshold,pixel,0.3,0.4344971646078213,0.07619825389185808,0.050935702869157495
threshold,sub-pixel,0.3,0.2884170781637303,0.07949075576139986,0.08999522056267706
canny,pixel,0.3,0.49793637529658896,0.16198004139440936,0.15591616927781127
canny,sub-pixel,0.3,0.2884170781637303,0.07949075576139986,0.08999522056267706
threshold,pixel,0.3,0.43177738093108947,0.06457146956730242,0.08409792529506688
threshold,sub-pixel,0.3,0.2826532915390082,0.08071820462969448,0.1123884883578723
canny,pixel,0.3,0.49964155689953105,0.1901056064607045,0.22230606058962366
canny,sub-pixel,0.3,0.284740089497743,0.085080190287952,0.11959103413654715
threshold,pixel,1.0,0.4042325429261707,0.09703749841119635,0.1229612684240633
threshold,sub-pixel,1.0,0.2824220231677254,0.09580351742525384,0.1136435237757003
canny,pixel,1.0,0.48939704419985447,0.23321581219495136,0.23085159435339442
canny,sub-pixel,1.0,0.287251897305978,0.10296094580230974,0.12776535095997055
threshold,pixel,1.0,0.41205122287395074,0.056703526878916666,0.07813363757149383
threshold,sub-pixel,1.0,0.2823098439971866,0.07742204967455357,0.10799504003896443
canny,pixel,1.0,0.49130600595781443,0.17638024415651066,0.19659244845448964
canny,sub-pixel,1.0,0.2823098439971866,0.07742204967455357,0.10799504003896443
threshold,pixel,1.0,0.41831130187189824,0.07557242711058576,0.08430909335995951
threshold,sub-pixel,1.0,0.2917662953242328,0.09227976414320116,0.11147063871329776
canny,pixel,1.0,0.4885978021500268,0.18431487893283738,0.2180788390868671
canny,sub-pixel,1.0,0.2917662953242328,0.09227976414320116,0.11147063871329776
threshold,pixel,1.0,0.41263091807021446,0.06809655562247985,0.0766690599068438
threshold,sub-pixel,1.0,0.2864201957251169,0.09114048954953213,0.11515645664696206
canny,pixel,1.0,0.4849548331797814,0.17195024459731578,0.206774739765899
canny,sub-pixel,1.0,0.2864201957251169,0.09114048954953213,0.11515645664696206
threshold,pixel,1.0,0.4119928295134748,0.06325976382288523,0.03538669087420887
threshold,sub-pixel,1.0,0.27640853226674195,0.08546881320607802,0.061473694465797646
canny,pixel,1.0,0.48226206652571396,0.17610508177613649,0.19359123063397043
canny,sub-pixel,1.0,0.27640853226674195,0.08546881320607802,0.061473694465797646
threshold,pixel,1.0,0.41904410113847934,0.07783500109428576,0.09060538130913964
threshold,sub-pixel,1.0,0.2880533348142814,0.08848311861053093,0.10937049618845918
canny,pixel,1.0,0.48353353257501164,0.20483219643055628,0.24233867867305836
canny,sub-pixel,1.0,0.2880533348142814,0.08848311861053093,0.10937049618845918
threshold,pixel,1.0,0.4291435698427079,0.07118573921456273,0.1058968162669256
threshold,sub-pixel,1.0,0.2859268634065067,0.07808466919988477,0.11504142539520346
canny,pixel,1.0,0.4946150516956489,0.18112355786897416,0.19253502887163432
canny,sub-pixel,1.0,0.2859268634065067,0.07808466919988477,0.11504142539520346
threshold,pixel,1.0,0.420306752212381,0.07874183100681231,0.08652621505503366
